S1,S2,S3,S4,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S24,S25,S26,S27,S28,S29,S30,S32,Group
0.0088473,0.0057771,0.0077416,0.0046943,0.00205,0.0070276,0.0090495,0.0045186,0.0046933,0.003045,0.0020879,0.0014746,0.0052015,0.0032851,0.0049724,0.0091419,0.0021126,0.0152648,0.0020274,0.0030686,0.001164,0.0028229,0.0133515,0.0019079,0.0146762,0.008997,0.0037774,0.0021258,CF
0.0075006,0.0049696,0.0063394,0.0038918,0.0018068,0.0061891,0.0077951,0.0038004,0.0039837,0.0026768,0.0017431,0.001344,0.0044797,0.0028391,0.0041375,0.0077119,0.0017457,0.0129001,0.0017103,0.0026834,0.0010319,0.0024475,0.0116734,0.0015462,0.0123092,0.0077054,0.0031917,0.0017531,CF
0.0099946,0.0064677,0.0084712,0.0057381,0.0022109,0.0076483,0.0101436,0.0046782,0.0053683,0.0032848,0.0021965,0.001619,0.0056168,0.0035566,0.0052312,0.0098181,0.0023214,0.0169308,0.0021533,0.0033497,0.0012684,0.0030886,0.0147497,0.0020598,0.0158749,0.0099616,0.0040084,0.0022459,CF
0.0074358,0.0048667,0.0063353,0.0038965,0.0017782,0.0059985,0.0075603,0.0038813,0.0039047,0.0026169,0.0018019,0.0013391,0.0044156,0.0027902,0.0041455,0.0076522,0.0017088,0.0124122,0.0017727,0.0027305,0.0010207,0.0024849,0.0112271,0.0015815,0.0120358,0.0075224,0.0031654,0.0017224,CF
0.008438,0.0055073,0.0071425,0.0044537,0.0018544,0.0059295,0.0079643,0.0038279,0.0041998,0.0027075,0.0018458,0.0013418,0.0045527,0.0028088,0.004283,0.0077299,0.0020122,0.0124257,0.0018067,0.0028445,0.0010123,0.0025661,0.0115432,0.0018187,0.01219,0.008062,0.0032456,0.0019595,CF
0.007319,0.0049293,0.0064287,0.0040199,0.0018019,0.006266,0.0077682,0.0038703,0.0039056,0.0026298,0.0017893,0.0013713,0.0045743,0.0028987,0.004404,0.0078891,0.0017442,0.0129573,0.0017783,0.002798,0.0010351,0.0024795,0.0116613,0.0015488,0.0126769,0.0077267,0.0032888,0.001693,CF
0.0088123,0.0054512,0.0076352,0.0044387,0.0020081,0.0068713,0.008939,0.0042112,0.0046366,0.0030705,0.0019836,0.0014329,0.0050473,0.00319,0.0047797,0.0088427,0.0021073,0.0148577,0.0019345,0.0030073,0.0010896,0.002737,0.0132455,0.0018973,0.0141763,0.0088284,0.003702,0.0021703,CF
0.008938,0.0055155,0.0073623,0.0043613,0.0018922,0.0071459,0.0089286,0.0039286,0.004854,0.0029085,0.0019053,0.0014915,0.0047261,0.003079,0.0046236,0.0085091,0.001957,0.0140735,0.0018604,0.0028098,0.0010402,0.0026368,0.0135951,0.0016007,0.0138519,0.0087575,0.0034916,0.0018636,CF
0.0084135,0.0054096,0.0070522,0.0041342,0.0018359,0.0061524,0.0082047,0.0038148,0.0041409,0.0028296,0.0018412,0.00131,0.0045386,0.002865,0.0043567,0.0078413,0.001954,0.0126857,0.0018228,0.0027444,0.0009454,0.0025193,0.0117714,0.0016988,0.0124479,0.0081447,0.0031789,0.0018546,CF
0.0085642,0.005514,0.007542,0.0048413,0.0020263,0.0072426,0.0088995,0.0043634,0.0046259,0.0031791,0.0020351,0.0015398,0.0052175,0.0033339,0.0049175,0.0091467,0.0020574,0.015349,0.0019818,0.0030707,0.0012374,0.0028094,0.0134078,0.0017879,0.0146241,0.0088719,0.0037969,0.0019728,CF
0.007002,0.0045651,0.0061265,0.0039084,0.0016901,0.0055017,0.0069734,0.0036705,0.0034759,0.0024726,0.0017095,0.0012934,0.0041516,0.0026959,0.0039679,0.0070776,0.001664,0.0109548,0.0017003,0.0026203,0.0009161,0.0023159,0.0104261,0.0015142,0.0113354,0.0069158,0.0030357,0.0016929,CF
0.0090025,0.0057971,0.0077128,0.0045447,0.0020637,0.0067667,0.0088404,0.0042859,0.0044048,0.0031336,0.0020164,0.0014876,0.0050116,0.0032673,0.0048029,0.0087038,0.0021104,0.0139868,0.0019943,0.0030699,0.0010303,0.0027893,0.0127287,0.0018796,0.0139157,0.0088292,0.0036038,0.0020335,CF
0.0092038,0.0058523,0.0077964,0.0043945,0.0020169,0.0068049,0.0087404,0.0040825,0.0045601,0.003028,0.0019982,0.0014798,0.0049172,0.0031098,0.0046578,0.0084563,0.0020945,0.0137344,0.0019536,0.003021,0.0010988,0.0027382,0.0125659,0.0018485,0.0135505,0.0088562,0.0034869,0.002035,CF
0.0069954,0.0045421,0.0061697,0.0040071,0.001687,0.0057596,0.0072351,0.0036918,0.0037511,0.002456,0.0016714,0.001247,0.004184,0.002706,0.0039175,0.0072123,0.0016792,0.0122111,0.0016404,0.0025547,0.0008955,0.0023274,0.0110801,0.0014657,0.0115137,0.00734,0.0031766,0.0016354,CF
0.0095481,0.0061631,0.0078698,0.0050162,0.0020876,0.0070052,0.0093434,0.0043187,0.004631,0.0032123,0.0020692,0.001524,0.0052257,0.0032817,0.0049572,0.0088764,0.0022155,0.014528,0.0020431,0.0031233,0.0010246,0.002882,0.0131214,0.0019824,0.0142514,0.0091983,0.0036297,0.0021439,CF
0.0071485,0.0046331,0.0062809,0.0040635,0.0017355,0.0058617,0.0073808,0.0037583,0.0037131,0.002544,0.001745,0.0012916,0.0043643,0.0027761,0.0041214,0.0074262,0.001706,0.0120159,0.001739,0.0026855,0.0010087,0.002366,0.0111021,0.0014796,0.0119133,0.0072682,0.0031055,0.0016531,CF
0.006653,0.004335,0.0056208,0.0034445,0.0015456,0.0054797,0.0067732,0.0033536,0.0034546,0.0021909,0.0015719,0.0011555,0.0038689,0.0026501,0.0036475,0.0067532,0.0014827,0.0113763,0.0015396,0.0023996,0.0008429,0.0021679,0.0104186,0.0012852,0.0107866,0.0068192,0.0028582,0.0014518,CF
0.0093531,0.0058823,0.0079001,0.0044665,0.0019969,0.0069824,0.0091024,0.0042311,0.0045357,0.0030443,0.0019826,0.0015777,0.0050179,0.0031822,0.0048287,0.0087118,0.002091,0.0143528,0.0019743,0.003038,0.0010188,0.0027372,0.0135634,0.0018417,0.0139278,0.0090264,0.0035673,0.0020225,CF
0.0078502,0.0048617,0.0062839,0.0036722,0.0017015,0.0053823,0.0070262,0.003385,0.003545,0.00237,0.0016682,0.0012311,0.0039487,0.0026029,0.0038121,0.0068455,0.0016825,0.0109187,0.0016515,0.002553,0.0008738,0.0022799,0.0104934,0.0015266,0.0107595,0.007216,0.0029417,0.0018143,CF
0.0094395,0.0059272,0.0082297,0.0047502,0.0020923,0.0072845,0.0094991,0.0043871,0.0047897,0.0032302,0.0021005,0.0014833,0.0052671,0.0032554,0.0050229,0.0090826,0.0021594,0.0151527,0.0020642,0.0031793,0.0011565,0.002847,0.0137011,0.001924,0.014628,0.0093517,0.0036421,0.0020446,CF
0.0068731,0.0044902,0.0060017,0.0039818,0.0017136,0.0059964,0.0071472,0.0036925,0.0037015,0.0024084,0.0016433,0.0011886,0.0042356,0.0027446,0.0039696,0.0072825,0.0016195,0.0126397,0.0016476,0.0025538,0.0008909,0.0022668,0.0111198,0.0013722,0.0117443,0.0072507,0.0031247,0.001562,CF
0.0078499,0.0049856,0.0065367,0.0043307,0.001703,0.0053669,0.0072927,0.0035006,0.0038275,0.0023129,0.0016437,0.0012451,0.0039709,0.0026665,0.0036894,0.0068385,0.001748,0.0112692,0.0016211,0.0024809,0.000783,0.0022662,0.0106629,0.001613,0.0108704,0.0073611,0.0028949,0.001759,kontrol
0.0071874,0.0045425,0.0059538,0.0039871,0.0015334,0.0048847,0.0067444,0.0032433,0.0035443,0.0021722,0.001524,0.0010918,0.0036989,0.0024686,0.0034955,0.0063542,0.0016285,0.0104675,0.0015033,0.0023376,0.0008197,0.0021538,0.0098962,0.0014835,0.0099522,0.0068365,0.0026718,0.0016023,kontrol
0.0071827,0.004604,0.0058305,0.0036899,0.0014963,0.005325,0.0068033,0.003013,0.0036676,0.0021405,0.0014992,0.0010682,0.0035871,0.0023625,0.0034177,0.0061441,0.0014714,0.0094752,0.0014609,0.0022069,0.0007878,0.0020376,0.0099889,0.0012678,0.0099502,0.0068425,0.0025738,0.0013846,kontrol
0.0064558,0.0042411,0.0054815,0.0035645,0.0016208,0.0055099,0.0065775,0.003505,0.0034481,0.0022693,0.0015644,0.0012189,0.00393,0.0026724,0.0037308,0.0068842,0.0015779,0.0113016,0.001568,0.0024773,0.0008494,0.0021994,0.0101916,0.0013459,0.0108717,0.0066593,0.0029596,0.0015442,kontrol
0.0075195,0.0047367,0.0062582,0.0038095,0.0016374,0.0051757,0.0068738,0.003348,0.0037093,0.002263,0.0015983,0.0012361,0.0038119,0.0025182,0.0035913,0.0065755,0.0017011,0.0105118,0.0016009,0.002402,0.0007894,0.0022065,0.0101919,0.0015141,0.0103283,0.0069833,0.0027902,0.0016192,kontrol
0.0072289,0.0048829,0.0063603,0.0038274,0.0017759,0.0058738,0.0073596,0.0037911,0.0038048,0.0024057,0.0017657,0.0013509,0.004251,0.0028233,0.0040744,0.0073876,0.0017085,0.011926,0.0017449,0.0026626,0.0009066,0.0023841,0.0110906,0.0015135,0.0116766,0.0074332,0.0031039,0.0016759,kontrol
0.0065077,0.0044048,0.0057974,0.0036954,0.0016044,0.0055229,0.0067094,0.0034684,0.0034681,0.0022418,0.001589,0.0011609,0.0039235,0.0025302,0.0037114,0.0067449,0.0015373,0.0115429,0.0015755,0.0023989,0.0008538,0.0021954,0.0103414,0.0013196,0.0107353,0.0068171,0.0028792,0.0015422,kontrol
0.0061169,0.0040806,0.0053972,0.0035055,0.0015124,0.0053045,0.0063926,0.0033758,0.0033354,0.0021312,0.0014985,0.0011741,0.00375,0.0024592,0.003582,0.0065781,0.0014058,0.0112934,0.0015041,0.0023392,0.0008721,0.002095,0.0103046,0.0012389,0.0105421,0.006617,0.0027907,0.0014182,kontrol
0.0061806,0.0040672,0.0053478,0.0033445,0.0015514,0.0053864,0.0064806,0.0034543,0.003313,0.0021269,0.0015466,0.001099,0.0039017,0.0026113,0.0037304,0.0066778,0.0013822,0.0111814,0.0015675,0.0024221,0.0008766,0.0021476,0.0104652,0.0012857,0.0106346,0.0066883,0.0028618,0.0014206,kontrol
0.0064348,0.0042592,0.005589,0.0036734,0.0015854,0.0056151,0.0066276,0.0034488,0.0034361,0.0023525,0.0015747,0.0011051,0.0038942,0.0025588,0.0037104,0.0067693,0.0014923,0.0115772,0.0015297,0.002345,0.0007959,0.002141,0.0104087,0.0012908,0.010899,0.0067342,0.0028769,0.0014744,kontrol
0.0060854,0.0041255,0.0055787,0.0035709,0.0014902,0.0054497,0.0064984,0.0033139,0.0034801,0.0021146,0.0014904,0.0011414,0.0037988,0.0025126,0.0035209,0.0066708,0.0013965,0.011638,0.0014755,0.0023035,0.0008064,0.0020421,0.0103527,0.0012558,0.010581,0.006625,0.0028167,0.0014375,kontrol
0.0087087,0.005507,0.0072903,0.0043087,0.0017264,0.0056737,0.0078797,0.0035101,0.0041878,0.0024806,0.0017155,0.0012247,0.0041056,0.0026851,0.0038011,0.0071024,0.0018675,0.0113672,0.0016844,0.0025736,0.0008976,0.0023792,0.0115986,0.0016692,0.011338,0.008119,0.0029531,0.0017811,kontrol
0.0065774,0.0042273,0.0057769,0.0037288,0.0015567,0.0057867,0.0069527,0.0035821,0.0036964,0.0023856,0.001573,0.0011678,0.0040359,0.0026084,0.0038162,0.0072461,0.0015337,0.0126259,0.0015949,0.0024791,0.0008532,0.0021975,0.0111302,0.0013143,0.0113493,0.0070909,0.0030413,0.0015048,kontrol
0.0062086,0.0041676,0.0055456,0.0035439,0.0015524,0.0055191,0.0066275,0.0035255,0.003514,0.0022172,0.001557,0.0011344,0.0039198,0.0025417,0.0037157,0.0068822,0.0014663,0.0119272,0.0015559,0.0024461,0.0008757,0.0021188,0.0106696,0.0012801,0.010955,0.0067585,0.0029471,0.0014936,kontrol
0.0066226,0.0041868,0.0058653,0.0035569,0.0016049,0.0057474,0.0068607,0.0036168,0.0036393,0.0023726,0.0015925,0.0011787,0.004039,0.0026449,0.0038307,0.0071159,0.0014942,0.0117558,0.0015962,0.002502,0.0008525,0.0022086,0.0111447,0.0012689,0.0114331,0.0069688,0.0029956,0.0014969,kontrol
0.0087696,0.0055694,0.0074117,0.0043227,0.0017987,0.0062409,0.0081831,0.0036967,0.0045307,0.0025391,0.0017809,0.0013378,0.0042961,0.0028511,0.004081,0.0075264,0.0018467,0.012333,0.0017254,0.0026908,0.0009836,0.0024175,0.0122355,0.0015899,0.0121985,0.00828,0.0031359,0.0017833,kontrol
0.0094631,0.0058556,0.0076102,0.0048036,0.0018803,0.0063435,0.0086042,0.0038376,0.0047366,0.0026809,0.0018286,0.0013849,0.0045138,0.002886,0.0041816,0.0078483,0.0020917,0.0132245,0.001821,0.0027761,0.0010033,0.0025692,0.0126376,0.0018354,0.0127498,0.0087352,0.003266,0.0019791,kontrol
0.0091581,0.0057931,0.007413,0.004657,0.0018568,0.0062506,0.0084897,0.0037442,0.0046468,0.0026115,0.0018697,0.0012796,0.0044388,0.0028617,0.0041251,0.0077638,0.0020244,0.0130464,0.0018179,0.0027355,0.0009088,0.0025844,0.012456,0.0018497,0.0125623,0.0084831,0.0032363,0.0020259,kontrol
0.0075956,0.0048569,0.0063079,0.0039634,0.0016422,0.0053808,0.0071454,0.0033243,0.0037258,0.0023017,0.0016501,0.0011812,0.003917,0.0025611,0.003686,0.0067693,0.0017433,0.0106787,0.0016189,0.0024857,0.0008546,0.002217,0.0105445,0.0015479,0.0107633,0.0071703,0.0028965,0.0016208,kontrol
0.0064776,0.0042649,0.0058001,0.00376,0.0015641,0.0056134,0.006783,0.0035094,0.0036543,0.0022806,0.0015582,0.0011059,0.0039769,0.0026224,0.0037727,0.0070792,0.0015507,0.012315,0.0015605,0.0024207,0.0008347,0.0021841,0.0109041,0.0013547,0.011201,0.006926,0.0030099,0.001527,kontrol
0.0069316,0.0043849,0.0059662,0.0034178,0.00162,0.005905,0.0072095,0.0035163,0.0039167,0.0023376,0.0016206,0.0011806,0.0040101,0.0026287,0.0037431,0.0072326,0.001513,0.0128591,0.0015789,0.0024776,0.0007904,0.002225,0.0113865,0.0013435,0.0115065,0.0072822,0.0029659,0.0015772,kontrol
